arraySize,Milliseconds
50000,0.08531999588012695
100000,0.1689620018005371
150000,0.26131899654865265
200000,0.34138600528240204
250000,0.43632400035858154
300000,0.5298629999160767
350000,0.616892009973526
400000,0.7476669996976852
450000,0.8195649981498718
500000,0.9058519899845123
550000,0.966729000210762
600000,1.0882059931755066
650000,1.1242130100727081
700000,1.2571489959955215
750000,1.3367569893598557
800000,1.4720979928970337
850000,1.533500999212265
900000,1.6653980016708374
950000,1.7531979978084564
1000000,1.8366239964962006
