arraySize,Milliseconds
10000,2.9701899886131287
20000,6.154380992054939
30000,9.350742995738983
40000,12.42578299343586
50000,15.749033004045486
60000,19.106168001890182
70000,22.01816099882126
80000,25.2990749925375
90000,28.550759002566338
100000,32.01505300402641
110000,35.38138699531555
120000,38.826551988720894
130000,42.18368399143219
140000,44.72799699008465
150000,47.94444599747658
160000,51.31099899113178
170000,54.69048298895359
180000,58.146604001522064
190000,61.569008991122246
200000,65.08664000034332
